Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Quantity~Integer~Quantity~100|Field=MFG~String~MFG~100|Field=MFG_PN~String~MFG_PN~100|Field=MFG1~String~MFG1~100|Field=MFG1_PN~String~MFG1_PN~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~EE4951_BPM_REV_A.PrjPcb|ReportField=ProjectFullPath~C:\Users\RossHarvey\Documents\School\EE4951_REPO\PCBA\EE4951_BPM_REV_A\EE4951_BPM_REV_A.PrjPcb|ReportField=Title~Bill of Materials For Project [EE4951_BPM_REV_A.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~227|ReportField=ReportTime~1:10:47 PM|ReportField=ReportDate~10/29/2015|ReportField=ReportDateTime~10/29/2015 1:10:47 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~10/29/2015|ReportField=CurrentTime~1:10:43 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\RossHarvey\Documents\School\EE4951_REPO\PCBA\EE4951_BPM_REV_A\Heirarchy.SchDoc|ReportField=DocumentName~Heirarchy.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~Ross Harvey|ReportField=Engineer~Ross Harvey|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~10/27/2015|ReportField=Organization~|ReportField=ProjectName~EE4951_BPM_REV_A.PrjPcb|ReportField=Revision~A|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~7|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~EE4951_BPM_REV_A.PrjPcb|ReportField=DataSourceFullPath~C:\Users\RossHarvey\Documents\School\EE4951_REPO\PCBA\EE4951_BPM_REV_A\EE4951_BPM_REV_A.PrjPcb
10nF||C1|1|Vishay|VJ0402Y103JXXAC|||CAP0402R|10nF (0402)
0.1uF||C2, C3, C4, C5, C6, C7, C11, C13, C18, C22, C24, C25, C38, C40, C46, C52, C55, C58, C59, C60, C62, C64, C65, C68, C69|25|Vishay|VJ0402G104MXQCW1BC|||CAP0402R|0.1uF (0402)
1nF||C8, C12, C34, C37, C61, C63, C66, C67|8|Vishay|VJ0402Y102KXAAC|||CAP0402R|1nF (0402)
1uF||C9|1|Vishay|VJ0805V105ZXXTW1BC|||CAP0603R|1uF
4.7uF||C10|1|Vishay|VJ0805V475MXQTW1BC|||CAP0805R|4.7uF (0805)
12pF||C14, C15|2|Murata|GRM1555C1H120JA01D|||CAP0402R|12pF (0402)
22pF||C16, C17|2|AVX|04025A220JAT2A|||CAP0402R|22pF (0402)
15pF||C19, C20, C48, C49, C50, C54, C70, C71|8|Vishay|VJ0402A150JXACW1BC|||CAP0402R|15pF (0402)
10pF||C21, C35|2|Vishay|VJ0402A100JXACW1BC|||CAP0402R|10pF (0402)
10uF||C23, C36, C56|3|||Vishay|VJ1206V106ZXQTW1BC|CAP1206R|10uF, 10uF 50v (1206), 10uF
0.1uF||C26, C27, C43|3|Vishay|VJ0603V104ZXAPW1BC|||CAP0603R|0.1uF 50v (0603)
10uF||C28, C39, C57|3|MURATA|GRJ31CR71E106KE11L|||CAP1206W|10uF (1206)
4.7nF||C29, C32, C42, C47, C53|5|||TDK|C1005X7R1H472K050BA|CAP0402R|4.7uF, 4.7uF, 4.7nF (0402), 4.7nF (0402), 4.7nF (0402)
33uF||C30, C31|2|TDK|C2012X5R1A336M125AC|||CAP0805R|33uF (0805)
39pF||C33|1|||TDK|C1005C0G1H390J050BA|CAP0402R|Generic Ceramic Capacitor
0.47uF||C41|1|Vishay|VJ0805V474MXXCW1BC|||CAP0805R|0.47uF (0805)
10uF||C44, C45|2|||TDK|C2012X5R1A106K125AB|CAP0805R|Generic Ceramic Capacitor
2.2pF||C51, C72|2|Vishay|VJ0402A2R2DXXCW1BC|||CAP0402R|2.2pF (0402)
LTST-S270KGKT||D1, D2, D3, D13, D14|5|Lite On|LTST-S270KGKT|||LED Green 0603|LED Green 0603
PMEG3020|Schottky Diode - 2A|D4, D5, D6, D7|4|NXP|PMEG3020ER,115|||SOD-123|PMEG3020ER,115
PMEG3050||D8, D9, D10|3|NXP|PMEG3050BEP,115|||SOD128|PMEG3050BEP
BAT43W-G3-18||D11|1|Vishay|BAT43W-G3-18|||SOD-123|BAT43
BZT52H-C18,115|19.1v Zener Diode|D12|1|NXP|BZT52H-C18,115|||SOD-123|BZT52H-C18
39-29-3026|1x2 MicroFit|J1, J2|2|MOLEX|39-29-3026|||1x2 MicroFit|1x2 Microfit
20021111-00010T4LF|2x5 JTAG Header TH (1.27mm)|J3|1|FCI|20021111-00010T4LF|||2x5 Header (1.27mm)|2x5 JTAG Header TH
1734035-4|USB Mini B Female|J4|1|TE CONNECTIVITY|1734035-4|||USB MINI-B 1734035-4|USB Mini-B Female
20021121-00010C4LF|2x5 JTAG Header SMD (1.27mm)|J5|1|FCI|20021121-00010C4LF|||2x5 JTAG Header|2x5 JTAG Header SMD
1x2 Header|1x2 Header, 2.52mm pitch|J6|1|||||1x2 Header|1x2 Header
Micro SD Connector|Micro SD Connector|J7|1|MOLEX|1050270001|||MICROSD_1050270001|MICRO_SD 1050270001
6.8uH|6.8uH Shielded Power Inductor|L1|1|SUMIDA|CDRH3D28NP-6R8NC|||CDRH3D28NP-6R8NC|6.8uH Power Inductor
22uH||L2|1|Bourns|SRR1210-220M|||Bourns_SRR1210|22uH_SRR1210
NX3020NAKV,115|NFET_DUAL_200mA_30v|M1, M2, M8, M11, M12|5|NXP|NX3020NAKV,115|||SOT666-6N|NX3020NAKV
2N7002P,215|NFET_SINGLE_360mA_60V|M3|1|NXP|2N7002P,215|||SOT23-3M|2N7002
SI2315BDS-T1-E3||M4, M5|2|Vishay|SI2315BDS-T1-E3|||SOT23-3M|Generic PFET
DMP3056L-7|PFET_SINGLE_4.3A_30v|M6, M9, M10|3|DIODES_INC|DMP3056L-7|||SOT23-3M|DMP3056L
SI7101DN-T1-GE3|PFET_SINGLE_35A_30v|M7|1|VISHAY|SI7101DN-T1-GE3|||PowerPAK-1212-8|SI7101DN
